B.S.,A.D.,Time,Latitude,Longitude,Magnitude,Recorded Centre,Location
2072-1-29,2015-05-12,13:51,27.8,85.94,5.1,NSC,Sindhupalchok
2072-1-29,2015-05-12,14:06,27.66,86.17,5.2,NSC,Dolakha
2072-1-29,2015-05-12,14:09,27.79,86.11,5,NSC,Dolakha
2072-1-29,2015-05-12,14:19,27.88,85.94,4.8,NSC,Sindhupalchok
2072-1-29,2015-05-12,14:20,27.68,86.23,4.7,NSC,Dolakha
2072-1-29,2015-05-12,14:24,27.69,86.21,4.7,NSC,Dolakha
2072-1-29,2015-05-12,14:47,27.8,86.12,4.7,NSC,Dolakha
2072-1-29,2015-05-12,13:46,27.68,86.04,4.3,NSC,Dolakha
2072-1-29,2015-05-12,13:33,27.63,86.17,4.8,NSC,Dolakha
2072-1-29,2015-05-12,13:28,27.69,86.24,5,NSC,Dolakha
2072-1-29,2015-05-12,13:02,27.84,86.17,5.8,NSC,Dolakha
2072-1-29,2015-05-12,14:44,27.76,86.31,5.3,NSC,Dolakha
2072-1-29,2015-05-12,13:58,27.8,85.83,5.3,NSC,Sindhupalchok
2072-1-29,2015-05-12,13:21,27.73,86.21,6.2,NSC/RSC,Dolakha
2072-1-29,2015-05-12,12:50,27.82,86.12,6.8,NSC/RSC,Dolakha
2072-1-29,2015-05-12,02:08,28.16,84.9,4.1,NSC,Gorkha
2072-1-29,2015-05-12,00:07,28.1,84.91,4,NSC,Dhading
2072-1-29,2015-05-12,15:14,27.7,86.01,4.2,NSC,Dolakha
2072-1-29,2015-05-12,15:29,27.8,85.95,4.2,NSC,Sindhupalchok
2072-1-29,2015-05-12,23:13,27.58,86.41,4.3,NSC,Ramechhap
2072-1-29,2015-05-12,22:17,27.68,86.04,4.2,NSC,Dolakha
2072-1-29,2015-05-12,18:47,27.89,85.88,4.4,NSC,Sindhupalchok
2072-1-29,2015-05-12,21:13,27.97,86.45,4.8,NSC,Tibet
2072-1-29,2015-05-12,20:44,28.03,86.36,4.1,NSC,Tibet
2072-1-29,2015-05-12,19:42,27.84,86.23,4.4,NSC,Dolakha
2072-1-29,2015-05-12,19:28,27.78,85.85,4.3,NSC,Sindhupalchok
2072-1-29,2015-05-12,18:13,27.7,86.04,4.7,NSC,Dolakha
2072-1-29,2015-05-12,17:43,27.71,86,4.3,NSC,Dolakha
2072-1-29,2015-05-12,18:53,27.72,85.97,4,NSC,Dolakha
2072-1-29,2015-05-12,17:06,27.72,86.2,4.6,NSC,Dolakha
2072-1-29,2015-05-12,16:51,27.62,86.16,4.7,NSC,Dolakha
2072-1-29,2015-05-12,16:26,27.76,86.24,4.4,NSC,Dolakha
2072-1-29,2015-05-12,16:20,27.73,86.11,5,NSC,Dolakha
2072-1-29,2015-05-12,16:16,27.69,86.05,4.2,NSC,Dolakha
2072-1-29,2015-05-12,16:00,27.57,86.29,4.8,NSC,Ramechhap
2072-1-29,2015-05-12,15:49,27.68,86.03,4.4,NSC,Dolakha
2072-1-28,2015-05-11,20:35,27.99,85.86,4.2,NSC,Sindhupalchowk
2072-1-28,2015-05-11,23:54,27.91,85.75,4,NSC,Sindhupalchowk
2072-1-27,2015-05-10,15:23,27.65,85.56,4.2,NSC,kavre
2072-1-27,2015-05-10,11:08,28.02,85.25,4,NSC,Rasuwa
2072-1-27,2015-05-10,02:44,26.94,86.67,4,NSC,Udayapur
2072-1-27,2015-05-10,06:34,27.88,86,4.4,NSC,Sindhupalchowk
2072-1-27,2015-05-10,01:50,28.04,85.96,4.2,NSC,Tibet
2072-1-26,2015-05-09,03:08,28.04,85.2,4.1,NSC,Rasuwa
2072-1-25,2015-05-08,02:19,27.94,85.58,4,NSC,Sindhupalchowk
2072-1-25,2015-05-08,06:17,27.69,86.04,5,NSC,Dolakha
2072-1-25,2015-05-08,08:19,27.75,85.91,4.2,NSC,Sindhupalchowk
2072-1-25,2015-05-08,13:32,27.77,85.88,4.8,NSC,Sindhupalchowk
2072-1-25,2015-05-08,15:05,28.01,85.41,4.2,NSC,Nuwakot
2072-1-24,2015-05-07,22:15,27.92,85.46,4,NSC,Nuwakot
2072-1-24,2015-05-07,07:56,27.79,85.16,4,NSC,Nuwakot
2072-1-24,2015-05-07,03:41,27.75,85.19,4.2,NSC,Nuwakot
2072-1-23,2015-05-06,22:19,28.04,85.26,4,NSC,Rasuwa
2072-1-23,2015-05-06,18:02,28.01,84.68,4.2,NSC,Gorkha
2072-1-22,2015-05-05,06:39,28.06,85.05,4,NSC,Dhading
2072-1-22,2015-05-05,16:23,27.74,86.03,4.3,NSC,Dolakha
2072-1-22,2015-05-05,17:00,27.96,86,4.2,NSC,Sindhupalchowk
2072-1-21,2015-05-04,04:59,27.75,85.87,4.2,NSC,Sindhupalchowk
2072-1-21,2015-05-04,07:00,27.69,85.99,4.3,NSC,Dolakha
2072-1-21,2015-05-04,09:54,27.97,85.21,4.2,NSC,Nuwakot
2072-1-21,2015-05-04,10:33,27.79,85.16,4,NSC,Nuwakot
2072-1-21,2015-05-04,10:36,27.8,85.16,4.1,NSC,Nuwakot
2072-1-21,2015-05-04,14:34,27.79,86.23,4.7,NSC,Dolakha
2072-1-21,2015-05-04,15:40,27.95,85.86,4.4,NSC,Sindhupalchowk
2072-1-21,2015-05-04,13:17,28.12,84.8,4,NSC,Gorkha
2072-1-21,2015-05-04,18:02,27.74,86,4.2,NSC,Dolakha
2072-1-20,2015-05-03,03:29,27.69,85.93,4.5,NSC,Sindhupalchowk
2072-1-20,2015-05-03,22:39,28.05,84.94,4,NSC,Dhading
2072-1-20,2015-05-03,05:47,28.08,85.04,4,NSC,Gorkha
2072-1-20,2015-05-03,08:00,27.98,84.87,4.1,NSC,Dhading
2072-1-20,2015-05-03,10:46,27.94,84.83,4.5,NSC,Dhading
2072-1-20,2015-05-03,17:20,27.8,85.11,4.9,NSC,Nuwakot
2072-1-20,2015-05-03,18:58,27.89,85.73,4,NSC,Sindhupalchowk
2072-1-20,2015-05-03,20:27,28.09,85.72,4.2,NSC,Sindhupalchowk
2072-1-19,2015-05-02,03:55,27.95,85.73,4.2,NSC,Sindhupalchowk
2072-1-19,2015-05-02,05:55,27.74,86.28,4.3,NSC,Dolakha
2072-1-19,2015-05-02,09:32,27.93,85.5,4.2,NSC,Sindhupalchowk
2072-1-19,2015-05-02,11:13,27.72,85.74,4,NSC,Sindhupalchowk
2072-1-19,2015-05-02,11:20,28.24,84.76,5.1,NSC,Gorkha
2072-1-19,2015-05-02,21:01,27.66,86.01,4.1,NSC,Dolakha
2072-1-18,2015-05-01,00:58,27.7,85.98,4.2,NSC,Dolakha
2072-1-18,2015-05-01,02:56,27.68,85.3,4,NSC,Kathmandu
2072-1-18,2015-05-01,10:35,27.75,85.95,4,NSC,Sindhupalchowk
2072-1-18,2015-05-01,11:28,28.04,85.33,4.5,NSC,Rasuwa
2072-1-18,2015-05-01,17:37,27.74,85.99,4,NSC,Dolakha
2072-1-18,2015-05-01,20:27,27.88,85.87,4.2,NSC,Sindhupalchowk
2072-1-18,2015-05-01,23:59,28.04,85.32,4,NSC,Rasuwa
2072-1-17,2015-04-30,06:22,27.93,84.83,4.7,NSC,Dhading
2072-1-17,2015-04-30,08:31,28.05,85.34,4.7,NSC,Rasuwa
2072-1-17,2015-04-30,13:29,27.65,86.09,4.1,NSC,Dolakha
2072-1-17,2015-04-30,23:19,27.92,85.87,4.3,NSC,Sindhupalchowk
2072-1-16,2015-04-29,04:49,27.93,85.63,4,NSC,Sindhupalchowk
2072-1-16,2015-04-29,05:54,27.79,85.14,4.2,NSC,Nuwakot
2072-1-16,2015-04-29,13:17,28.04,85.37,4,NSC,Nuwakot
2072-1-16,2015-04-29,15:24,27.86,84.89,4.5,NSC,Dhading
2072-1-16,2015-04-29,17:12,27.95,85.52,4.5,NSC,Sindhupalchowk
2072-1-16,2015-04-29,23:01,28.19,84.8,4.4,NSC,Gorkha
2072-1-15,2015-04-28,00:44,28.29,84.93,4.8,NSC,Gorkha
2072-1-15,2015-04-28,02:59,27.92,85.51,4.2,NSC,Sindhupalchowk
2072-1-15,2015-04-28,03:12,27.89,85.76,4.2,NSC,Sindhupalchowk
2072-1-15,2015-04-28,04:11,28.1,84.65,4.2,NSC,Gorkha
2072-1-15,2015-04-28,05:05,28.1,85.49,4.9,NSC,Sindhupalchok
2072-1-15,2015-04-28,07:45,27.81,86.09,4.2,NSC,Dolakha
2072-1-15,2015-04-28,08:40,27.76,85.8,4,NSC,Sindhupalchowk
2072-1-15,2015-04-28,12:08,27.96,85.55,4,NSC,Sindhupalchowk
2072-1-15,2015-04-28,15:10,27.83,85.83,4,NSC,Sindhupalchowk
2072-1-15,2015-04-28,16:44,27.78,85.17,4,NSC,Nuwakot
2072-1-15,2015-04-28,17:03,27.88,85.88,4.2,NSC,Sindhupalchowk
2072-1-15,2015-04-28,22:07,28.2,84.78,4,NSC,Gorkha
2072-1-14,2015-04-27,04:27,27.82,85.76,4.4,NSC,Sindhupalchowk
2072-1-14,2015-04-27,04:17,27.57,85.74,4.5,NSC,Kavrepalanchowk
2072-1-14,2015-04-27,04:15,27.56,85.73,4.2,NSC,Kavrepalanchowk
2072-1-14,2015-04-27,03:37,27.75,85.2,4.1,NSC,Kathmandu
2072-1-14,2015-04-27,00:39,28.26,85.1,4.5,NSC,Rasuwa
2072-1-14,2015-04-27,06:24,27.77,85.12,4.7,NSC,Nuwakot
2072-1-14,2015-04-27,08:18,27.67,85.55,4.2,NSC,Kavrepalanchowk
2072-1-14,2015-04-27,09:59,28.24,85.23,4.3,NSC,Rasuwa
2072-1-14,2015-04-27,10:05,27.93,85.86,4,NSC,Sindhupalchowk
2072-1-14,2015-04-27,15:17,27.8,85.12,4,NSC,Nuwakot
2072-1-14,2015-04-27,21:36,27.67,85.29,4.5,NSC,Kathmandu
2072-1-14,2015-04-27,22:39,27.82,85.89,4.2,NSC,Sindhupalchowk
2072-1-14,2015-04-27,23:30,28.19,85.03,4,NSC,Dhading
2072-1-13,2015-04-26,23:51,27.91,85.55,4.2,NSC,Sindhupalchowk
2072-1-13,2015-04-26,22:42,27.83,86.06,4,NSC,Dolakha
2072-1-13,2015-04-26,22:10,27.95,85.87,5.3,NSC,Sindhupalchowk
2072-1-13,2015-04-26,00:14,27.94,85.55,4.1,NSC,Sindhupalchowk
2072-1-13,2015-04-26,06:00,27.67,85.28,4,NSC,Kathmandu
2072-1-13,2015-04-26,05:32,28.05,85.34,4,NSC,Rasuwa
2072-1-13,2015-04-26,05:26,27.67,86.07,4.5,NSC,Dolakha
2072-1-13,2015-04-26,05:25,27.69,85.25,4,NSC,Kathmandu
2072-1-13,2015-04-26,05:01,27.99,85.02,5.5,NSC,Nuwakot
2072-1-13,2015-04-26,02:52,27.82,85.8,4.8,NSC,Sindhupalchowk
2072-1-13,2015-04-26,02:49,27.98,84.99,4,NSC,Gorkha
2072-1-13,2015-04-26,02:17,27.6,85.96,4.8,NSC,Sindhupalchowk
2072-1-13,2015-04-26,02:14,28.24,84.82,4.3,NSC,Gorkha
2072-1-13,2015-04-26,02:08,28.25,85.83,4,NSC,Rasuwa
2072-1-13,2015-04-26,01:56,27.93,85.56,4.4,NSC,Sindhupalchowk
2072-1-13,2015-04-26,01:52,28.14,84.71,4.2,NSC,Gorkha
2072-1-13,2015-04-26,01:49,28.05,85.35,4,NSC,Rasuwa
2072-1-13,2015-04-26,01:29,27.93,85.56,4.1,NSC,Sindhupalchowk
2072-1-13,2015-04-26,00:43,27.71,85.43,4.6,NSC,Kathmandu
2072-1-13,2015-04-26,06:16,27.84,85.12,4,NSC,Nuwakot
2072-1-13,2015-04-26,08:43,28.32,84.73,4.5,NSC,Gorkha
2072-1-13,2015-04-26,08:55,27.8,85.16,5.1,NSC,Nuwakot
2072-1-13,2015-04-26,22:08,27.67,85.3,4,NSC,Kathmandu
2072-1-13,2015-04-26,21:47,27.65,85.97,4,NSC,Dolakha
2072-1-13,2015-04-26,20:42,28.31,84.97,4.5,NSC,Gorkha
2072-1-13,2015-04-26,20:29,27.72,85.97,4.5,NSC,Sindhupalchowk
2072-1-13,2015-04-26,20:17,27.79,85.15,4,NSC,Nuwakot
2072-1-13,2015-04-26,19:08,27.68,85.95,4,NSC,Dolakha
2072-1-13,2015-04-26,18:56,27.89,85.6,5,NSC,Sindhupalchowk
2072-1-13,2015-04-26,15:27,27.77,85.91,4.5,NSC,Sindhupalchowk
2072-1-13,2015-04-26,14:31,27.97,85.81,4.5,NSC,Sindhupalchowk
2072-1-13,2015-04-26,09:06,27.64,85.63,5,NSC,Kavre
2072-1-13,2015-04-26,10:35,28.04,85.5,4.5,NSC,Sindhupalchowk
2072-1-13,2015-04-26,10:43,28.26,85.02,4.8,NSC,Gorkha
2072-1-13,2015-04-26,12:54,27.84,86.05,6.9,NSC,Dolakha
2072-1-13,2015-04-26,13:12,27.75,85.94,5.3,NSC,Sindhupalchowk
2072-1-13,2015-04-26,13:22,27.94,86.05,5,NSC,Tibet
2072-1-13,2015-04-26,14:25,27.79,86,4.8,NSC,Sindhupalchowk
2072-1-12,2015-04-25,09:30,28,85.6,5.5,NSC/RSC,Sindhupalchowk
2072-1-12,2015-04-25,15:28,28.29,85.16,4.6,NSC/RSC,Rasuwa
2072-1-12,2015-04-25,16:08,27.87,85.8,4.1,NSC/RSC,Sindhupalchowk
2072-1-12,2015-04-25,10:40,27.86,85.85,4,NSC/RSC,Sindhupalchowk
2072-1-12,2015-04-25,11:05,27.91,85.5,4.6,NSC/RSC,Sindhupalchowk
2072-1-12,2015-04-25,11:41,28.14,85.28,4.1,NSC/RSC,Rasuwa
2072-1-12,2015-04-25,12:17,28,85.4,4.9,NSC/RSC,Nuwakot
2072-1-12,2015-04-25,12:44,28.16,84.71,5.5,NSC/RSC,Gorkha
2072-1-12,2015-04-25,09:03,27.91,85.33,5.3,NSC/RSC,Nuwakot
2072-1-12,2015-04-25,08:55,27.65,85.63,5.7,NSC/RSC,Kabre
2072-1-12,2015-04-25,08:29,28.18,84.95,5.2,NSC/RSC,Gorkha
2072-1-12,2015-04-25,09:43,28.29,85.16,4.6,NSC,Rasuwa
2072-1-12,2015-04-25,10:23,27.87,85.8,4.1,NSC,Sindhupalchowk
2072-1-12,2015-04-25,06:11,28.24,84.75,7.6,NSC/RSC,Gorkha
2072-1-12,2015-04-25,06:45,28.28,84.72,6.6,NSC/RSC,Gorkha
2072-1-12,2015-04-25,06:56,28.13,85.65,5.7,NSC/RSC,Rasuwa
2072-1-12,2015-04-25,07:08,28.2,85.75,5.3,NSC/RSC,Rasuwa
2072-1-12,2015-04-25,08:17,27.78,85.84,5.2,NSC/RSC,Sindhupalchowk
2072-1-12,2015-04-25,08:20,27.9,84.86,5.1,NSC/RSC,Dhading
2072-1-12,2015-04-25,13:30,28.1,85.2,4.7,NSC/RSC,Rasuwa
2072-1-12,2015-04-25,13:53,27.79,85.16,4.1,NSC/RSC,Nuwakot
2072-1-12,2015-04-25,23:25,27.78,85.17,4,NSC,Nuwakot
2072-1-12,2015-04-25,23:40,28.1,85.27,4,NSC,Rasuwa
2072-1-12,2015-04-25,23:46,27.78,85.98,4.1,NSC,Sindhupalchowk
2072-1-12,2015-04-25,06:38,28.41,85.8,5.5,NSC,Tibet
2072-1-12,2015-04-25,07:47,27.99,85.71,5.1,NSC,Tibet
2072-1-12,2015-04-25,23:27,28.34,85.91,5.6,NSC,Tibet
2072-1-12,2015-04-25,12:39,27.82,86.05,4.5,NSC,Dolakha
2072-1-12,2015-04-25,20:21,27.6,86.09,4.5,NSC,Dolakha
2072-1-12,2015-04-25,23:24,27.9,85.53,4,NSC,Sindhupalchowk
2072-1-12,2015-04-25,23:19,27.77,85.83,4.1,NSC,Sindhupalchowk
2072-1-12,2015-04-25,19:47,27.68,85.32,4.1,NSC,Kathmandu
2072-1-12,2015-04-25,19:21,27.69,86.02,4.9,NSC,Dolakha
2072-1-12,2015-04-25,19:55,27.73,85.9,4.7,NSC,Sindhupalchowk
2072-1-12,2015-04-25,20:08,28.05,85.25,4.1,NSC,Rasuwa
2072-1-12,2015-04-25,20:25,27.73,85.9,5,NSC,Sindhupalchowk
2072-1-12,2015-04-25,20:36,28.14,85.16,4.4,NSC,Rasuwa
2072-1-12,2015-04-25,21:02,27.95,85.56,4.2,NSC,Sindhupalchowk
2072-1-12,2015-04-25,22:12,27.92,85.64,5.3,NSC,Sindhupalchowk
2072-1-12,2015-04-25,22:31,27.8,85.29,4,NSC,Nuwakot
2072-1-10,2015-04-23,01:57,28.4,83.99,4.1,NSC,Kaski
2072-1-9,2015-04-22,07:14,28.8,81.92,4.5,NSC,Jajarkot
2072-1-8,2015-04-21,19:52,28.85,82.18,5.1,NSC,Jajarkot
2071-11-2,2015-02-14,22:51,27.42,87.01,4.5,NSC,Bhojpur
2071-10-17,2015-01-31,19:44,28.29,83.73,5.5,NSC,Kaski
2071-10-8,2015-01-22,09:27,29.36,81.03,4.4,RSC,Doti
2071-9-22,2015-01-06,01:26,29.07,81.51,4.5,NSC,Dailekh
2071-9-3,2014-12-18,15:32,27.73,86.52,5.9,NSC,Solukhumbu
2071-8-9,2014-11-25,15:49,28.25,84.94,4.5,NSC,Gorkha
2071-6-1,2014-09-17,10:29,27.76,88.05,4.5,NSC,Taplejung
2071-4-18,2014-08-03,05:57,29.45,85.64,5.9,N?A,Tibet
2071-3-23,2014-07-07,16:37,29.73,80.93,4.2,NSC,Bajhang-Darchula border
2071-3-20,2014-07-04,05:58,27.83,87.91,4.6,NSC,Taplejung
2071-2-11,2014-05-25,02:46,28.23,84.09,4.1,NSC,Kaski
2071-2-6,2014-05-20,18:36,28.32,84.73,4.3,NSC,Gorkha
2071-1-10,2014-04-23,07:14,27.3,87.62,4,NSC,Taplejung
2070-12-28,2014-04-11,17:22,29.29,81.26,4.2,NSC,Achham
2070-12-17,2014-03-31,07:51,30.11,81.93,4.4,NSC,Humla
2070-7-17,2013-11-03,06:47,29.56,81.68,4.3,NSC,Bajura
2070-7-11,2013-10-28,01:37,27.36,87.37,4.3,NSC,Sankhuwasava
2070-6-27,2013-10-13,21:43,30.08,81.74,4.5,NSC,Humla
2070-6-17,2013-10-03,06:12,27.14,88.51,5.7,,Sikkim
2070-6-6,2013-09-22,14:35,30.25,81.55,4.4,NSC,Humla
2070-5-27,2013-09-12,04:29,26.96,87.34,4.5,NSC,Dhankuta
2070-5-14,2013-08-30,17:48,28.43,86.03,6,,Tibet
2070-3-14,2013-06-28,11:40,28.76,82.4,5.5,NSC/RSC,Rukum
2070-3-13,2013-06-27,06:20,30.05,80.8,4.4,NSC/RSC,Darchula
2070-3-12,2013-06-26,22:22,26.85,85.96,4.4,NSC/RSC,Dhanusha
2070-2-26,2013-06-09,16:11,27.31,86.7,4.2,NSC,Northern Khotang
2070-2-17,2013-05-31,06:04,29.74,81.6,4.5,NSC/RSC,Northern Bajura
2070-2-12,2013-05-26,17:38,27.72,85.91,4.2,NSC,Sindhupalchok
2070-1-31,2013-05-14,09:59,29.65,81.98,4.5,NSC/RSC,Western Mugu
2070-1-31,2013-05-14,03:13,29.56,82,4.3,NSC,Mugu
2070-1-31,2013-05-14,03:18,29.68,82,4.4,NSC,Mugu
2070-1-15,2013-04-28,18:28,29.87,81.26,4.9,NSC,Northern Bajhang
2069-12-4,2013-03-17,11:59,26.74,86.08,4.2,NSC,Dhanusha
2069-11-23,2013-03-06,16:49,28.57,82.27,5.4,NSC,Rukum
2069-11-11,2013-02-22,02:41,28.39,83.18,4.1,NSC,Baglung
2069-10-25,2013-02-07,01:08,29.42,81.05,4,NSC,Bajhang
2069-10-5,2013-01-18,20:59,29.48,81.26,4.5,NSC,Bajhang
2069-9-29,2013-01-13,17:35,26.84,86.22,4,NSC,Siraha
2069-9-25,2013-01-09,07:44,29.82,81.7,5.5,NSC/RSC,Northern part of Bajura
2069-9-18,2013-01-02,17:42,29.41,81,4.7,NSC/RSC,Bajhang and Doti border
2069-9-7,2012-12-22,06:05,28.27,82.84,4.5,NSC,Rolpa and Pyuthan border
2069-8-19,2012-12-04,03:01,28.88,82.34,4,NSC,North East Jajarkot
2069-7-27,2012-11-12,12:42,29.55,81.31,4.5,NSC,Bajhang
2069-7-26,2012-11-11,18:39,29.51,81.13,5.6,NSC/RSC,Southern Bajhang
2069-7-6,2012-10-22,06:56,27.95,87.86,4.5,NSC,Around Kanchanjunga
2069-6-1,2012-09-17,09:45,28.59,82.41,4.4,NSC/RSC,Southern Rukum
2069-5-14,2012-08-30,14:11,28.61,82.43,4.5,NSC/RSC,Southern Rukum
2069-5-13,2012-08-29,19:54,28.4,82.79,4.3,NSC/RSC,Northern Rolpa
2069-5-12,2012-08-28,08:31,28.73,81.81,4.4,NSC/RSC,Southeastern Dailekh 
2069-5-8,2012-08-24,03:55,28.42,82.75,5.2,NSC/RSC,Rolpa-Rukum border region
2069-5-8,2012-08-24,00:17,28.38,82.66,4.4,NSC/RSC,Rolpa
2069-5-7,2012-08-23,16:42,28.39,82.73,4.4,NSC/RSC,Rolpa
2069-5-7,2012-08-23,16:30,28.38,82.84,5.6,NSC/RSC,Rolpa - Rukum border region
2069-4-22,2012-08-06,01:53,27.77,88.13,4.2,NSC,Northern Taplejung
2069-4-16,2012-07-31,11:58,28.53,82.42,4.8,NSC/RSC,Southern Rukum
2069-4-16,2012-07-31,11:50,28.58,82.48,5,NSC/RSC,Southern Rukum
2069-4-16,2012-07-31,12:05,28.55,82.37,4.2,NSC/RSC,Southern Rukum
2069-4-13,2012-07-28,05:48,30.12,80.54,5,NSC/RSC,India (close to Darchula)
2069-3-27,2012-07-11,17:23,29.43,81.03,4.9,NSC,Southern Bajhang
2069-3-17,2012-07-01,07:54,27.27,88.05,4,NSC,Panchthar - Sikkim border
2069-3-1,2012-06-15,16:15,28.99,81.58,4.2,NSC,Dailekh
2069-2-29,2012-06-11,04:35,27.25,88,4.5,NSC,Panchthar - Sikkim border
2069-2-27,2012-06-09,07:54,28.32,84.17,5.1,NSC,Kaski
2069-2-17,2012-05-30,09:34,27.31,87.88,4.2,NSC,Taplejung
2069-1-5,2012-04-17,23:13,28.5,82.06,4.2,NSC/RSC,Salyan
2068-12-29,2012-04-11,02:52,29.55,81.24,4.3,NSC/RSC,Bajhang
2068-12-14,2012-03-27,23:40,26.12,87.87,5.2,NSC,Jhapa-India Border Region
2068-12-6,2012-03-19,20:36,28.7,82.02,4.7,,Karkigaun-Jajarkot
2068-11-14,2012-02-26,23:08,29.86,81.05,4.9,NSC,Bajhang-Darchula border
2068-11-14,2012-02-26,22:56,29.71,81.02,4.4,NSC,Bajhang-Darchula border
2068-11-2,2012-02-14,13:48,27.33,88.03,4.4,NSC,Taplejung
2068-11-2,2012-02-14,13:41,27.38,88.11,4.5,NSC,Taplejung-Sikkim Border
2068-10-22,2012-02-05,20:06,27.25,88.07,4,,Panchthar
2068-10-10,2012-01-24,04:07,26.84,86.43,4,NSC,Siraha
2068-10-5,2012-01-19,00:46,29.73,81.91,4.6,NSC,Humla
2068-10-4,2012-01-18,11:16,26.63,86.4,4.5,NSC,Siraha
2068-9-27,2012-01-11,08:59,28.89,81.89,4.2,NSC,Dailekh
2068-9-15,2011-12-30,02:10,29.62,81.53,4,NSC,Bajura
2068-9-3,2011-12-18,21:35,27.73,88.16,4.6,NSC,Taplejung
2068-8-28,2011-12-14,20:20,27.72,88.09,4.9,NSC,Taplejung
2068-8-23,2011-12-09,22:57,27.83,88.13,4.2,NSC,Taplejung
2068-8-22,2011-12-08,17:40,27.97,82.86,4,NSC,Pyuthan
2068-8-16,2011-12-02,,28.05,85.34,4.2,NSC,Rasuwa
2068-8-7,2011-11-23,,28.91,81.68,4.2,NSC,Dailekh
2068-8-3,2011-11-19,,27.7,86.1,4.1,NSC,Dolakha
2068-7-27,2011-11-13,,28.2,84.93,5,NSC,Gorkha
2068-7-22,2011-11-08,,27.94,85.55,4.1,NSC,Sindhupalchowk
2068-7-18,2011-11-04,,28.34,83.66,4,NSC,Parbat
2068-6-15,2011-10-02,,29.55,81.68,4.2,NSC,Bajura
2068-6-14,2011-10-01,,30.16,81.81,4.7,NSC,Humla
2068-6-1,2011-09-18,,27.78,88.32,6.8,NSC,Taplejung-Sikkim Border
2068-5-10,2011-08-27,,26.94,86.6,5,NSC,Udayapur
2068-5-8,2011-08-25,,28.15,82.53,4.4,NSC,Rolpa
2068-5-5,2011-08-22,,28.29,83.96,4,NSC,Kaski
2068-5-2,2011-08-19,,29.7,81.34,4.9,NSC,Bajhang
2068-5-1,2011-08-18,,28.21,84.31,4,NSC,Lamjung
2068-4-30,2011-08-15,,27.44,86.27,5,NSC,Ramechhap
2068-4-24,2011-08-09,,29.9,81.31,4.3,NSC,Bajhang
2068-4-17,2011-08-02,,27.35,86.35,4,NSC,Khotang
2068-4-13,2011-07-29,,27.19,86.76,4.2,NSC,Khotang
2068-3-31,2011-07-15,,27.28,87.3,4.5,NSC,Sankhuwasabha
2068-3-4,2011-06-18,,27.83,87.35,4.3,NSC,Sankhuwasabha
2068-3-3,2011-06-17,,30.24,81.48,4.2,NSC,Humla
2068-2-28,2011-06-11,,28.4,82.55,4.1,NSC,Rolpa
2068-2-28,2011-06-11,,28.41,82.66,4.2,NSC,Rolpa
2068-2-20,2011-06-03,,27.6,88.03,5.2,NSC,Taplejung
2067-12-24,2011-04-07,,27.93,85.61,4.1,NSC,Sindhupalchowk
2067-12-22,2011-04-05,,29.74,80.37,4.1,NSC,Darchula
2067-12-21,2011-04-04,,30,80.81,4.1,NSC,Darchula
2067-12-21,2011-04-04,,29.92,80.54,5.7,NSC,Darchula
2067-12-8,2011-03-22,,28.11,82.74,4.2,NSC,Pyuthan
2067-12-8,2011-03-22,,28.35,83.96,4,NSC,Kaski
2067-11-28,2011-03-12,,28.31,83.78,4.4,NSC,Kaski
2067-11-27,2011-03-11,,28.31,83.8,4.3,NSC,Kaski
2067-11-26,2011-03-10,,28.02,85.24,4.3,NSC,Rasuwa
2067-11-10,2011-02-22,,27.57,87.01,4.2,NSC,Sankhuwasabha
2067-11-1,2011-02-13,,27.47,87.01,4.7,NSC,Bhojpur-Sankhuwasabha border
2067-10-4,2011-01-18,,27.8,85.94,4.3,NSC,Sindhupalchowk
2067-10-4,2011-01-18,,30.03,81.97,4.1,NSC,Humla
2067-9-3,2010-12-18,,28.18,84.79,4.1,NSC,Gorkha
2067-8-19,2010-12-05,,29.57,81.699,4.2,NSC,Bajura
2067-8-14,2010-11-30,,26.93,85.79,4.4,NSC,Mahottari
2067-8-9,2010-11-25,,28.38,82.32,4.5,NSC,Salyan
2067-8-9,2010-11-25,,28.44,83.17,4.7,NSC,Baglung
2067-6-31,2010-10-17,,28.64,85.71,5,NSC,Tibet
2067-5-16,2010-09-01,,28.23,84.37,4,NSC,Lamjung
2067-2-30,2010-06-13,,29.6,81.65,4.8,NSC,Bajura
2067-2-30,2010-06-13,,29.4,81.38,4.5,NSC,Bajura
2067-2-30,2010-06-13,,28.01,86.77,4,NSC,Solukhumbu
2067-1-30,2010-05-13,,28.3,84.51,4.2,NSC,Lamjung
2067-1-17,2010-04-30,,27.75,86.36,4,NSC,Dolakha
2067-1-1,2010-04-14,,28.31,83.09,4.2,NSC,Baglung
2066-12-31,2010-04-13,,29.37,81.34,4.5,NSC,Bajura
2066-11-17,2010-03-01,,29.76,83.11,4.3,NSC,Bajura
2066-11-16,2010-02-28,,28.4,81.52,4.1,NSC,Baglung
2066-11-13,2010-02-25,,29.78,81.52,4.6,NSC,Bajhang
2066-11-5,2010-02-17,,26.79,86.08,4.1,NSC,Dhanusa
2066-10-4,2010-01-18,,28.37,83.97,4.1,NSC,Kaski
2066-9-1,2009-12-16,,29.6,81.51,4.6,NSC,Bajura
2066-8-30,2009-12-15,,28.28,84.4,4.1,NSC,Lamjung
