B.S.,A.D.,Time,Latitude,Longitude,Magnitude,Recorded Centre,Location
2072-12-22,2016-04-04,04:31,27.72,86.09,4.7,NSC,Dolakha
2072-12-18,2016-03-31,22:41,27.93,85.59,4,NSC,Sindhupalchowk
2072-12-17,2016-03-30,12:26,27.89,85.73,4.7,NSC,Sindhupalchowk
2072-12-11,2016-03-24,23:41,27.75,88.04,4.1,NSC,Taplejung
2072-12-4,2016-03-17,05:14,27.34,86.27,4,NSC,Okhaldhunga
2072-12-2,2016-03-15,21:27,27.84,85.73,4.5,NSC,Sindhupalchowk
2072-11-30,2016-03-13,05:15,27.83,84.9,4.8,NSC,Dhading
2072-11-28,2016-03-11,09:28,27.9,85.87,4.2,NSC,Sindhupalchowk
2072-11-24,2016-03-07,08:05,30.22,81.7,4.4,NSC/RSC,Humla
2072-11-23,2016-03-06,01:25,27.69,85.93,4,NSC,Sindhupalchowk
2072-11-18,2016-03-01,10:45,27.79,85.73,4.3,NSC,Sindhupalchowk
2072-11-12,2016-02-24,09:22,27.8,85.74,5.4,NSC,Sindhupalchok
2072-11-11,2016-02-23,03:00,27.47,87.15,4.5,NSC,Sankhuwasava
2072-11-9,2016-02-21,18:09,28.08,84.76,5.5,NSC,Gorkha
2072-11-8,2016-02-20,22:09,27.86,85.29,4.1,NSC,Nuwakot
2072-11-1,2016-02-13,14:37,27.81,85.72,4.3,NSC,Sindhupalchowk
2072-10-27,2016-02-10,16:27,27.84,85.71,4.6,NSC,Sindhupalchowk
2072-10-22,2016-02-05,16:20,27.95,85.52,5.5,NSC,Sindhupalchowk
2072-10-13,2016-01-27,20:42,27.83,85.83,4.4,NSC,Sindhupalchowk
2072-10-13,2016-01-27,14:57,26.68,86.27,4.2,NSC,Siraha
2072-10-8,2016-01-22,19:22,28.06,85.09,4.6,NSC,Nuwakot
2072-10-1,2016-01-15,13:05,27.63,86.25,4.1,NSC,Dolakha
2072-10-1,2016-01-15,17:14,27.65,86.23,4.3,NSC,Dolakha
2072-9-25,2016-01-09,17:43,27.48,86.01,4.4,NSC,Ramechhap
2072-9-20,2016-01-04,13:02,27.75,86.12,4.1,NSC,Dolakha
2072-9-18,2016-01-02,21:30,28.01,85.8,4.2,NSC,Sindhupalchowk
2072-9-16,2015-12-31,01:56,27.86,85.72,4.3,NSC,Sindhupalchowk
2072-9-13,2015-12-28,22:07,27.7,86.12,4.2,NSC,Dolakha
2072-9-11,2015-12-26,04:48,29.35,81.29,4.1,NSC,Bajura
